business_id,name,categories,stars,text,sentiment
sbW8qHJgzEIH42B0S-3New,Dave & Buster's,u'Restaurants,3,"[had, an, awesome, time, here, with, my, hubby, the, food, was, amazing, but, the, games, cost, so, much, an, the, prizes, where, ok, but, all, in, all, a, good, time, i, 'll, be, bring, the, kids, with, next, time]",1
Ts4xsKPU7FNPPZRj-nRjIg,Buffalo Blues,u'Restaurants,4,"[in, the, last, week, i, 've, been, here, twice, ,, partially, because, i, do, n't, know, any, better, and, partially, because, it, 's, actually, pretty, good, !, it, 's, one, of, the, few, places, that, does, n't, reek, of, cigarettes, ,, it, 's, never, crowded, and, the, open, garage, doors, are, great, for, fresh, air, ., i, tried, their, buffalo, (, boneless, ), wings, last, night, in, the, jack, daniel, 's, sauce, -, way, better, than, sharp, edge, 's, ., the, sauce, was, pretty, mild, but, still, quite, tasty, and, if, you, 're, not, a, super, wings, eater, ,, you, ...]",0
WWlNzfSllSQhr4whj0W_ng,Walter's Automotive,u'Automotive,5,"[my, car, had, the, srs, (, supplemental, restraint, system, ,, i, think, ), light, go, on, ,, which, means, either, airbag, or, seatbelt, issues, ., brought, it, into, walter, ,, who, mentioned, that, for, my, year, car, ,, there, 's, usually, a, warranty, covering, this, part, ,, and, i, 'd, be, better, off, at, the, dealer, ., but, i, had, been, told, by, a, dealer, in, the, north, hills, (, in, retrospect, ,, incorrectly, ), that, it, would, n't, be, covered, ,, so, i, left, it, with, walter, ., he, diagnosed, the, problem, as, the, seat, belt, buckle, ,, called, ...]",1
2SwC8wqpZC4B9iFVTgYT9A,Casbah,u'Restaurants,3,"[um, ., a, little, bummed, ., i, had, high, expectations, ,, but, left, feeling, just, ..., meh, ., the, restaurant, is, really, cool, looking, but, i, was, a, little, confused, by, the, bar, set, up, ., we, sat, at, the, bar, because, they, did, n't, have, any, tables, open, ., i, usually, do, n't, mind, sitting, at, the, bar, but, the, stools, are, bolted, to, the, floor, ,, and, about, 2, feet, from, each, other, ., if, you, have, three, people, with, you, ,, forget, about, mingling, !, also, ,, the, service, was, very, iffy, ., there, was, a, bartender, ...]",1
rEKBr81s19Soh3dYj4bcGQ,Pizza Hut,u'Restaurants,1,"[do, not, order, from, this, place, !, really, bad, service, !]",1
2Igiyhi82R8_QaaPplRmCw,The Dor-Stop Restaurant,u'Restaurants,4,"[the, chocolate, chip, banana, pancakes, are, to, die, for, ., plus, the, environment, is, fun, and, kinda, retro, ., other, people, in, my, party, had, the, veggie, burrito, ,, and, the, oatmeal, banana, pancakes, ., everyone, was, satisfied, ., our, wait, was, only, about, 7, minutes, ,, but, i, understand, sometimes, it, can, be, a, bit, long, ., so, give, yourself, some, extra, time, to, wait, ,, but, it, 's, well, worth, it, ., if, you, 're, in, pittsburgh, be, sure, to, stop, by, .]",1
WxN-aV_puFazt3UGNLlw0A,McBroom Distributor,u'Food,2,"[cons, :, *, very, cramped, space, ,, aisles, are, so, narrow, that, you, have, to, carry, your, case, sideways, ., *, only, a, few, items, were, priced, with, signs, hanging, above, them, ., *, no, shopping, carts, ., pros, :, *, decent, selection, *, chilled, section]",1
2X5G4Ujq0s4Wfn4TC7gX0g,D's Six Pax & Dogz,u'Restaurants,4,"[d, 's, is, pretty, awesome, ., the, name, is, d, 's, six, pax, &, dogs, for, a, reason-, they, have, a, huge, beer, cave, and, a, billion, different, hotdog, combinations, ., the, beer, cave, has, :, seasonals, ,, local, brews, ,, imports, ,, etc, and, a, blast, chiller, thing, that, will, chill, your, beer, for, you, in, seconds/minutes, (, like, super, fast, ), ., there, is, a, hot, dog, list, with, different, topping, combinations, ,, in, which, you, can, choose, the, type, of, dog, you, want, :, veggie, ,, brat, ,, beef, hotdog, ,, turkey, dog, ,, and, even, kielbasa, ...]",1
hhNlQWaKqGbMPoeZHoL-IQ,Mad Mex - South Hills,u'Restaurants,3,"[i, am, sad, to, report, that, mad, mex, will, no, longer, be, making, my, very, favorite, dish, :, the, three, cheese, three, pepper, enchilada, ., or, ,, so, i, was, told, by, the, waitress, on, december, 28, ,, when, i, was, lucky, enough, to, pass, through, pittsburgh, over, the, holidays, ., boo, hoo, ., i, am, sad, .]",1
OxIeMVcop5oxBUWANi-1Rw,Olive or Twist,u'Restaurants,4,"[i, go, here, pretty, often, for, drinks, ., they, have, the, best, variety, of, martinis, and, it, 's, lively, in, the, evenings, ., the, buffalo, chicken, spread, is, highlyyyy, recommended, .]",1
shrMOQmX_SX-KualwYoAzA,Au Bon Pain Co,u'Food,4,"[this, is, the, best, out, of, the, downtown, location, au, bon, pains, ., the, manager, keith, is, very, friendly, and, the, rest, of, the, staff, follows, his, lead, ., it, 's, not, as, cheap, as, fast, food, but, their, email, club, sends, out, a, lot, of, coupons, in, addition, to, often, times, receipts, having, survey, coupon, offers, ., thai, peanut, chicken, wrap, is, my, new, go, to, item, for, lunch, which, comes, with, a, free, breadstick, ., the, bagels, and, pastries, are, pretty, tasty, as, well, ., good, lunch, spot, to, dine, in, or, take, out, .]",1
XY3sN_2uusMSU9i1WINFeg,Benedum Center for the Performing Arts,u'Arts & Entertainment,3,"[first, of, all, ,, this, is, a, beautiful, theater, !, we, came, to, see, ``, les, mis, '', and, were, held, up, in, traffic, on, the, way, ,, so, we, did, not, get, to, fully, appreciate, the, lobby, as, we, huffed, &, puffed, up, the, stairs, to, the, balcony, and, took, our, seats, just, as, the, show, started, ., however, ,, we, had, plenty, of, time, to, check, it, out, as, we, left, en, masse, ,, and, it, was, gorgeous, ., from, our, $, 50, seats, in, row, n, ,, the, performers, looked, like, ants, ., and, there, were, rows, ...]",0
nBl_NeArpL08MpoghDiA_A,Ephesus Mediterranean Kitchen,u'Restaurants,4,"[great, range, of, foods, ., everyone, loved, what, they, had, ., i, had, the, pide, (, pe-day, ), with, egg, and, cheese, ., it, was, pure, comfort, food, and, larger, than, i, expected, ,, but, really, tasty, and, definitely, hit, the, spot, ., i, was, with, a, crowd, of, friends, ., one, of, whom, ordered, the, lamb, kebab, and, everyone, raved, about, it, (, not, a, meat, eater, ,, so, taking, their, word, for, it, ), ., their, babaganoush, was, excellent, ., serving, sizes, are, generous, ,, but, ambience, leaves, a, bit, to, be, desired, ., if, possible, ,, consider, ...]",1
LN3OCT1xOedbf65xKzFSNw,Taste of India,u'Restaurants,2,"[the, problem, is, inconsistency, ., sometimes, a, dish, is, very, good, ,, other, times, not, so, good, ., dal, makhni, last, night, was, like, soup, --, all, liquid, ,, little, dal, ., lamb, curry, lacked, flavor, when, in, the, past, it, has, been, wonderful, ., it, appears, that, there, are, different, cooks, whose, approach, to, dishes, can, be, radically, different, ., i, 'd, like, to, be, able, to, count, on, a, consistent, product, .]",1
1RV8xKft7cvG-OjED8_RIg,Carmike Galleria 6,u'Arts & Entertainment,3,"[a, pretty, good, place, to, see, a, show, ., it, does, n't, quite, have, the, panache, that, the, loews, in, homestead, nor, the, eclectic, mix, that, the, squirrel, hill, and, manor, have, ., but, it, 's, a, nice, ,, clean, multi-plex, in, an, upscale, mall, ., they, show, a, lot, of, movies, that, appeal, to, the, local, population, and, ,, yes, ,, that, does, include, an, ``, art, house, '', or, ``, indie, '', flick, or, too, ., worth, checking, out, if, you, 're, in, the, area, .]",1
jLgIlhi_A78JG-43C8e63Q,Rollier's Hardware,u'Shopping,3,"[this, place, is, huge, and, very, convenient, to, our, home, ., i, like, to, frequent, locally, owned, businesses, so, i, was, excited, to, try, rollier, 's, instead, of, going, to, the, home, depot, down, the, street, ., unfortunately, this, store, is, considerably, more, expensive, and, has, a, much, smaller, selection, of, items, ., i, know, this, is, to, be, expected, ,, but, i, expect, the, stellar, service, to, compensate, for, this, fact, ., i, did, not, find, stellar, service, ., the, gentleman, in, hardware, that, helped, me, was, unfriendly, and, did, n't, seem, to, care, that, that, i, could, n't, ...]",0
